logged,tier,game_id,game,market,side,book,bet,line,odds,win_prob,ev,stake,placed,close_line,close_odds,clv_pts,clv_prob,result,units
2026-09-23 15:12,,2026_03_LV_NO,LV @ NO,total,over,consensus,Over 44.5,44.5,-102,0.532,0.054,0.0137,yes,43.5,-110.0,-1.0,,,
2026-09-23 15:12,,2026_03_ARI_SF,ARI @ SF,total,under,consensus,Under 47.5,47.5,-105,0.532,0.039,0.0103,yes,47.5,-105.0,0.0,,,
2026-09-24 12:45,,2026_03_LA_DEN,LA @ DEN,total,over,DraftKings,Over 44.5,44.5,-115,0.561,0.049,0.0139999999999999,yes,43.5,-115.0,-1.0,,,
2026-09-24 13:04,"Close road team, daytime",2026_03_MIN_TB,MIN @ TB,spread,away,DraftKings,MIN -1.5,-1.5,-108,0.0,0.0,0.005,yes,-1.5,-108.0,0.0,,,
2026-09-24 13:04,"Close road team, daytime",2026_03_LV_NO,LV @ NO,spread,away,DraftKings,LV +3,3.0,102,0.0,0.0,0.005,yes,3.0,102.0,0.0,,,
2026-09-25 16:47,Wind under,2026_03_CAR_CLE,CAR @ CLE,total,under,DraftKings,Under 42.5,42.5,-112,0.0,0.0,0.005,yes,42.5,-112.0,0.0,,,
2026-09-25 16:47,Wind under,2026_03_TEN_NYG,TEN @ NYG,total,under,DraftKings,Under 38.5,38.5,-112,0.0,0.0,0.005,yes,38.5,-112.0,0.0,,,
2026-09-25 16:47,"Close road team, daytime",2026_03_TEN_NYG,TEN @ NYG,spread,away,DraftKings,TEN +2.5,2.5,-102,0.0,0.0,0.005,yes,2.5,-102.0,0.0,,,
2026-09-25 17:02,Close road team ML,2026_03_HOU_IND,HOU @ IND,ml,away,DraftKings,HOU ML,,-125,0.0,0.0,0.005,yes,,-125.0,,-0.021,,
2026-09-25 17:02,Close road team ML,2026_03_NE_JAX,NE @ JAX,ml,away,DraftKings,NE ML,,130,0.0,0.0,0.005,yes,,130.0,,-0.0231,,
2026-09-25 17:02,Close road team ML,2026_03_TEN_NYG,TEN @ NYG,ml,away,DraftKings,TEN ML,,114,0.0,0.0,0.005,yes,,114.0,,-0.022,,
2026-09-25 17:02,Close road team ML,2026_03_MIN_TB,MIN @ TB,ml,away,DraftKings,MIN ML,,-120,0.0,0.0,0.005,yes,,-120.0,,-0.0222,,
2026-09-25 17:02,Close road team ML,2026_03_LV_NO,LV @ NO,ml,away,DraftKings,LV ML,,154,0.0,0.0,0.005,yes,,154.0,,-0.0241,,
2026-09-25 17:02,Buy-low underdog,2026_03_LAC_BUF,LAC @ BUF,spread,away,DraftKings,LAC +7,7.0,-108,0.0,0.0,0.005,yes,7.0,-108.0,0.0,,,
